material,chrome,temp,press,H2O,O2,SO2,NO2,H2S,rotate,time,CR,severity,Refs.
X60,0.062962963,0.142857143,0,0.00480096,0.021276596,0.06,0,0,1,0.046673287,0.04,1,[30]
X70,0.325925926,0.142857143,0,0.00480096,0.021276596,0.06,0,0,1,0.046673287,0.01,1,[30]
X70,0.325925926,0.142857143,0,0.00380076,0.021276596,0.06,0,0,1,0.046673287,0.04,1,[30]
X52,0.555555556,0.2,0.196078431,0.00230046,0.172340426,0.0014,0.1,0,0,0.110228401,0.00003,1,[31]
X52,0.555555556,0.2,0.196078431,0.00105021,0.172340426,0.0014,0.1,0,0,0.475670308,0.004,1,[32]
X52,0.555555556,0.2,0.196078431,0.00230046,0.172340426,0.0014,0.1,0,0,0.475670308,0.013,1,[32]
X52,0.555555556,0.2,0.196078431,0.00230046,0.172340426,0.0014,0.1,0,0,0.110228401,0.025,1,[32]
X52,0.555555556,0.2,0.196078431,0.00130026,0.172340426,0.0014,0.1,0,0,0.475670308,0.006,1,[32]
X100,1,0.114285714,0.047058824,0.227120424,0,0,0,0,0,0.330023171,0.016,1,[33]
X100,1,0.114285714,0.196078431,0.227120424,0,0,0,0,0,0.330023171,0.04,1,[33]
X80,0.796296296,0.114285714,0.196078431,0.227120424,0,0,0,0,0,0.330023171,0.048,1,[33]
X42,0.018518519,0.114285714,0.029411765,0.227120424,0.70212766,0,0,0,0,0.330023171,0.017,1,[33]
X60,0,0.114285714,0.098039216,0.227120424,0.664893617,0,0,0,0,0.330023171,0.036,1,[33]
X42,0.018518519,0.114285714,0.098039216,0.227120424,0.664893617,0,0,0,0,0.330023171,0.052,2,[33]
X42,0.018518519,0.114285714,0.196078431,0.227120424,0.29787234,0,0,0,0,0.330023171,0.119,2,[33]
X42,0.018518519,0.114285714,0.047058824,0.227120424,0,0,0,0,0,0.330023171,0.02,1,[33]
X80,0.796296296,0.114285714,0.196078431,0.227120424,0.29787234,0,0,0,0,0.330023171,0.109,2,[33]
X100,1,0.114285714,0.196078431,0.227120424,0.29787234,0,0,0,0,0.330023171,0.086,2,[33]
X80,0.796296296,0.114285714,0.047058824,0.227120424,0,0,0,0,0,0.330023171,0.021,1,[33]
X60,0,0.114285714,0.029411765,0.227120424,0.70212766,0,0,0,0,0.330023171,0.014,1,[33]
X60,0,0.114285714,0.098039216,0.227120424,0.330957447,0,0,0,0,0.330023171,0.039,1,[33]
X60,0,0.114285714,0.196078431,0.227120424,0,0,0,0,0,0.330023171,0.032,1,[33]
X80,0.796296296,0.114285714,0.098039216,0.227120424,0.330957447,0,0,0,0,0.330023171,0.03,1,[33]
X80,0.796296296,0.114285714,0.029411765,0.227120424,0.70212766,0,0,0,0,0.330023171,0.017,1,[33]
X60,0,0.114285714,0.18627451,0.227120424,0.595744681,0,0,0,0,0.330023171,0.148,2,[33]
X60,0,0.114285714,0.047058824,0.227120424,0,0,0,0,0,0.330023171,0.019,1,[33]
X42,0.018518519,0.114285714,0.18627451,0.227120424,0.595744681,0,0,0,0,0.330023171,0.165,2,[33]
X42,0.018518519,0.114285714,0.098039216,0.227120424,0.330957447,0,0,0,0,0.330023171,0.047,1,[33]
X100,1,0.114285714,0.098039216,0.227120424,0.330957447,0,0,0,0,0.330023171,0.03,1,[33]
X100,1,0.114285714,0.098039216,0.227120424,0.664893617,0,0,0,0,0.330023171,0.033,1,[33]
X80,0.796296296,0.114285714,0.18627451,0.227120424,0.595744681,0,0,0,0,0.330023171,0.163,2,[33]
X100,1,0.114285714,0.18627451,0.227120424,0.595744681,0,0,0,0,0.330023171,0.13,2,[33]
X80,0.796296296,0.114285714,0.098039216,0.227120424,0.664893617,0,0,0,0,0.330023171,0.045,1,[33]
X60,0,0.114285714,0.196078431,0.227120424,0.29787234,0,0,0,0,0.330023171,0.087,2,[33]
X100,1,0.114285714,0.029411765,0.227120424,0.70212766,0,0,0,0,0.330023171,0.009,1,[33]
X42,0.018518519,0.114285714,0.196078431,0.227120424,0,0,0,0,0,0.330023171,0.033,1,[33]
X42,0.018518519,0.057142857,0,0.227118151,0,0.00,0,0,1,0.078450844,0.015,1,[34]
X65,0.042592593,0.057142857,0,0.227118151,0,0.00,0,0,1,0.078450844,0.0185,1,[34]
X80,0.046296296,0.057142857,0,0.227118151,0,0.00,0,0,1,0.078450844,0.012,1,[34]
X100,0.051851852,0.057142857,0,0.227118151,0,0.00,0,0,1,0.078450844,0.0135,1,[34]
X42,0.018518519,0.114285714,0,0.227118151,0,0.00,0,0,1,0.078450844,0.02,1,[34]
X65,0.042592593,0.114285714,0,0.227118151,0,0.00,0,0,1,0.078450844,0.0185,1,[34]
X80,0.046296296,0.114285714,0,0.227118151,0,0.00,0,0,1,0.078450844,0.02,1,[34]
X100,0.051851852,0.114285714,0,0.227118151,0,0.00,0,0,1,0.078450844,0.0155,1,[34]
X42,0.018518519,0.114285714,0.196078431,0.227118151,0.638297872,0.00,0,0,1,0.078450844,0.033,1,[34]
X65,0.042592593,0.114285714,0.196078431,0.227118151,0.638297872,0.00,0,0,1,0.078450844,0.031,1,[34]
X80,0.046296296,0.114285714,0.196078431,0.227118151,0.638297872,0.00,0,0,1,0.078450844,0.0485,1,[34]
X100,0.051851852,0.114285714,0.196078431,0.227118151,0.638297872,0.00,0,0,1,0.078450844,0.0395,1,[34]
X65,0.088888889,0.142857143,0.196078431,0.00030006,0.004255319,0.004,0,0.1,0,0.046673287,0.0038,1,[37]
X65,0.088888889,0.142857143,0.196078431,0.00105021,0.004255319,0.004,0,0.1,0,0.046673287,0.0045,1,[37]
X65,0.088888889,0.142857143,0.196078431,0.00230046,0.004255319,0.004,0,0.1,0,0.046673287,0.0089,1,[37]
X65,0.088888889,0.142857143,0.196078431,0.00355071,0.004255319,0.004,0,0.1,0,0.046673287,0.0221,1,[37]
X65,0.088888889,0.142857143,0.196078431,0.00480096,0.004255319,0.004,0,0.1,0,0.046673287,0.178,2,[37]
X65,0.088888889,0.142857143,0.196078431,0.010634627,0.004255319,0.00,0,0.1,0,0.046673287,0.554,4,[37]
X65,0,0.114285714,0.196078431,0.227118151,0,0.00,0,0,1,0.078450844,0.019,1,[38]
X70,0,0.114285714,0.196078431,0.227118151,0,0.00,0,0,1,0.078450844,0.021,1,[38]
X80,0,0.114285714,0.196078431,0.227118151,0,0.00,0,0,1,0.078450844,0.012,1,[38]
X65,0,0.114285714,0.196078431,0.002209533,0,0.0000,0,0.025,1,0.078450844,0.07,2,[38]
X70,0,0.114285714,0.196078431,0.002209533,0,0.0000,0,0.025,1,0.078450844,0.067,2,[38]
X80,0,0.114285714,0.196078431,0.002209533,0,0.0000,0,0.025,1,0.078450844,0.056,2,[38]
X65,0,0.114285714,0.196078431,0.002209533,0,0.0000,0,0.05,0,0.078450844,0.028,1,[38]
X70,0,0.114285714,0.196078431,0.002209533,0,0.0000,0,0.05,0,0.078450844,0.029,1,[38]
X80,0,0.114285714,0.196078431,0.002209533,0,0.0000,0,0.05,0,0.078450844,0.028,1,[38]
X65,0,0.114285714,0.196078431,0.002209533,0,0.0000,0,0.05,1,0.078450844,0.077,2,[38]
X70,0,0.114285714,0.196078431,0.002209533,0,0.0000,0,0.05,1,0.078450844,0.079,2,[38]
X80,0,0.114285714,0.196078431,0.002209533,0,0.0000,0,0.05,1,0.078450844,0.057,2,[38]
X65,0,1,0.196078431,0.027714634,0,0.00,0,0.05,1,0.078450844,0.124,2,[38]
X70,0,1,0.196078431,0.027714634,0,0.00,0,0.05,1,0.078450844,0.117,2,[38]
X80,0,1,0.196078431,0.027714634,0,0.00,0,0.05,1,0.078450844,0.07,2,[38]
X65,0,0.114285714,0.196078431,0.002209533,6.38298E-09,0.0000,0,0.05,0,0.078450844,0.074,2,[38]
X70,0,0.114285714,0.196078431,0.002209533,6.38298E-09,0.0000,0,0.05,0,0.078450844,0.064,2,[38]
X80,0,0.114285714,0.196078431,0.002209533,6.38298E-09,0.0000,0,0.05,0,0.078450844,0.079,2,[38]
X65,0,0.114285714,0.196078431,0.002209533,6.38298E-09,0.0000,0,0.05,1,0.078450844,0.237,3,[38]
X70,0,0.114285714,0.196078431,0.002209533,6.38298E-09,0.0000,0,0.05,1,0.078450844,0.242,3,[38]
X80,0,0.114285714,0.196078431,0.002209533,6.38298E-09,0.0000,0,0.05,1,0.078450844,0.254,3,[38]
X80,0.040740741,0.057142857,0,0.002073142,0.010638298,0.0100,0.5,0,0,0.01489573,5.7,4,[39]
X80,0.040740741,0.057142857,0,0.002073142,0.010638298,0.0100,0.5,0,0,0.046673287,2.2,4,[39]
X80,0.040740741,0.057142857,0,0.002073142,0.010638298,0.0100,0.5,0,0,0.078450844,1.5,4,[39]
X80,0.040740741,0.057142857,0,0.002073142,0.010638298,0.0100,0.5,0,0,0.157894737,0.75,4,[39]
X80,0.040740741,0.057142857,0,0.002073142,0.010638298,0.0100,0.5,0,0,0.316782522,0.6,4,[39]
X80,0.040740741,0.057142857,0,0.002073142,0.010638298,0.0100,0.5,0,1,0.046673287,2.8,4,[39]
X80,0.040740741,0.057142857,0,0.002073142,0.010638298,0.0100,0.5,0,1,0.046673287,3.1,4,[39]
Unknown,0.018518519,0.2,0.147058824,0.00230046,0,0,0,0.5,1,0.221449851,0.259,3,[40]
Unknown,0.018518519,0.2,0.147058824,0.00230046,0,0,0,0.5,1,0.825223436,0.221,3,[40]
Unknown,0.018518519,0.2,0.147058824,0.00230046,0,0,0,0.5,1,1,0.008,1,[40]
Unknown,0.018518519,0.2,0.147058824,0.00230046,0,0,0,0.5,1,1,0.01,1,[40]
Unknown,0.018518519,0.2,0.147058824,0.00230046,0,0.1,0,0.5,1,1,0.34,3,[40]
Unknown,0.018518519,0.2,0.147058824,0.00230046,0,0.3,0,0.5,1,1,0.59,4,[40]
Unknown,0.018518519,0.2,0.147058824,0.00230046,0,1,0,0.5,1,1,1.39,4,[40]
X65,0.042592593,0.114285714,0.196078431,0.002209533,0.638297872,0.002,0,0,0,0.078450844,0.37,3,[41]
X65,0.042592593,0.114285714,0.196078431,0.002209533,0.638297872,0.002,0,0,0,0.157894737,0.36,3,[41]
X65,0.042592593,0.114285714,0.196078431,0.002209533,0.638297872,0.002,0,0,0,0.23733863,0.33,3,[41]
X65,0.042592593,0.114285714,0.196078431,0.002209533,0.638297872,0.002,0,0,0,0.316782522,0.32,3,[41]
